title,ingredients,instagram
닭볶음탕,"['닭', '감자', '고추', '당근', '마늘', '간장', '고추장']","['닭', '춘천', '집밥', '밥', '캠핑', '볶음', '빵', '탕', '밥상', '닭발']"
된장찌개,"['된장', '양파', '두부', '멸치', '버섯', '마늘', '애호박']","['집밥', '된장', '밥', '집', '볶음', '고기', '밥상', '반찬', '청국장', '호박']"
김치찌개,"['배추김치', '김치', '돼지고기', '고춧가루', '마늘', '파', '간장']","['집밥', '고기', '김치', '갈비', '밥', '돼지고기', '집', '생', '숙성', '돼지']"
비빔밥,"['도라지', '고사리', '고추장', '소고기', '호박', '콩나물', '당근']","['밥', '집밥', '야채', '호두', '김치볶음밥', '볶음밥', '쿠키', '치마', '샌드위치', '떡']"
소불고기,"['소고기', '양파', '파', '팽이버섯', '느타리버섯', '간장', '마늘']","['집밥', '양념', '밥', '고기', '반찬', '갈비', '소고기', '집', '볶음', '용']"
떡갈비,"['소고기', '부추', '양념장', '양파', '간장', '참기름', '설탕']","['밥', '반찬', '집', '치즈', '담양', '고기', '집밥', '헌', '명란', '옥']"
소고기전골,"['소고기', '두부', '배추', '송이버섯', '파', '표고버섯', '마늘']","['전골', '소고기', '창업', '집밥', '한우', '밀', '아기', '술', '캠핑', '너']"
제육볶음,"['돼지고기', '양파', '고추장', '파', '깨소금', '양파', '고춧가루']","['볶음', '제육', '집밥', '반찬', '집', '밥', '밥상', '김치', '돼지', '배달']"
잔치국수,"['소면', '멸치', '계란', '애호박', '당근', '파', '다시마']","['고기', '집', '멸치', '집밥', '여름', '신혼', '돈', '엄마', '밥', '동구']"
돼지갈비찜,"['돼지고기', '간장', '마늘', '참기름', '양파', '파', '당근']","['돼지', '갈비', '고기', '양념', '집밥', '반찬', '밀', '캠핑', '밥', '배달']"
잡채,"['당면', '돼지고기', '목이버섯', '양파', '당근', '시금치', '파프리카']","['집밥', '미역국', '엄마', '전', '아들', '밥', '반찬', '당면', '남편', '해']"
굴비구이,"['굴비', '소금']","['굴비', '곱창', '생선', '집밥', '밥', '볶음', '밥상', '굴', '참조기', '선물']"
해물순두부찌개,"['순두부', '새우', '바지락', '청양고추', '파', '고춧가루', '양파']","['해물', '집밥', '오징어', '새우', '볶음', '찜', '회', '보쌈', '배달', '운동']"
소고기순두부찌개,"['순두부', '청양고추', '고추가루', '양파', '파', '소고기', '계란']","['소고기', '집밥', '반찬', '밥상', '볶음', '밥', '맘', '집', '계란', '술']"
돼지국밥,"['돼지고기', '부추', '파', '새우젓', '마늘', '사골곰탕', '후추']","['국밥', '순대', '포항', '미미', '맘', '배달', '돈', '고기', '육', '국물']"
순대국밥,"['순대', '사골곰탕', '마늘', '고춧가루', '멸치액젓', '새우젓', '부추']","['국밥', '순대', '국물', '고기', '추가', '집', '대전', '짐', '가득', '농가']"
김치전,"['김치', '부침가루', '청양고추', '쪽파', '돼지고기']","['전', '김치', '집밥', '술', '캠핑', '밥', '오징어', '휴가', '집', '볶음']"
순대볶음,"['순대', '양파', '깻잎', '고춧가루', '고추장', '당근', '깻잎']","['순대', '곱창', '볶음', '집밥', '집', '들깨', '캠핑', '휴가', '밀', '야채']"
라면,"['면', '계란', '파']","['볶음', '집', '계곡', '오뚜기', '휴가', '여름', '집밥', '뭐', '여행', '운동']"
순대,['순대'],"['튀김', '국밥', '집', '떡', '집밥', '국물', '오징어', '야채', '어묵', '포장']"
호떡,"['밀가루', '설탕', '식용유', '소금', '찹쌀가루', '우유', '계핏가루']","['떡', '견과류', '배달', '집', '씨앗', '반죽', '아침', '꿀떡', '여름', '겨울']"
쫄면,"['면', '양배추', '상추', '고추장', '설탕', '오이', '게란']","['집밥', '집', '야채', '술', '밥', '밥상', '양념', '참기름', '매콤', '양념장']"
로제떡볶이,"['떡', '베이컨', '생크림', '고추장', '고춧가루', '크림', '토마토소스']","['배달', '닭강정', '떡', '치즈', '국물', '우유', '술', '크림', '튀김', '집']"
라볶이,"['라면사리', '떡볶이떡', '고추장', '설탕', '오뎅', '다시마', '게란']","['어묵', '밥', '떡', '집', '국물', '계란', '치즈', '치킨', '김치', '탕']"
만두라면,"['냉동만두', '라면', '파', '계란', '고추', '마늘']","['김치', '집밥', '해장', '계란', '밥', '캠핑', '집', '아침', '실비', '떡']"
떡라면,"['떡 ', '라면', '파', '계란', '고추']","['떡', '집밥', '계란', '집', '휴게소', '떡국', '김치', '밥', '전복', '아침']"
유부초밥,"['유부', '밥', '깨소금', '소금', '설탕', '당근', '애호박']","['우동', '새우', '밥', '초밥', '밥상', '재료', '연어', '협찬', '명란', '집밥']"
수제비,"['밀가루', '애호박', '멸치', '파', '감자', '당근', '다시마']","['반죽', '손', '집', '들깨', '밀가루', '아침', '비', '집밥', '김치', '엄마']"
새우볶음밥,"['새우', '밥', '식용유', '파', '계란', '당근', '소금']","['볶음밥', '새우', '밥', '집밥', '마켓', '아침', '버터', '집', '휴가', '쿠캣']"
누드김밥,"['밥', '김밥 김', '단무지', '마요네즈', '소금', '오이', '참기름']","['참치', '롤', '밥', '연어', '잡채', '집밥', '계란', '뭐', '줌', '참기름']"
치즈떡볶이,"['치즈', '떡', '고추장', '양파', '고춧가루', '파', '마늘']","['치즈', '튀김', '떡', '집', '어묵', '캠핑', '신전', '국물', '치킨', '배달']"
짜계치,"['면', '계란', '치즈']","['짜파게티', '치즈', '파김치', '술집', '김치', '생', '계란', '집밥', '새우', '자취']"
고구마돈가스,"['돼지고기', '고구마무스', '밀가루', '식용유', '소금', '빵가루', '후추']","['고구마', '치즈', '밥', '우동', '가게', '샐러드', '등심', '아침', '여름', '생']"
치즈돈가스,"['치즈', '돼지고기', '밀가루', '후추', '마늘', '빵가루', '후추']","['치즈', '등심', '체험', '집', '밥', '에어', '튀김', '바삭', '툼', '우동']"
왕돈가스,"['돼지고기', '밀가루', '후추', '소금', '식용유', '빵가루', '계란']","['왕', '홍익', '우동', '치즈', '집', '카페', '밥', '클럽', '그림', '집밥']"
크림돈가스,"['크림소스', '돼지고기', '소금', '후추', '밀가루', '빵가루', '계란']","['크림', '치즈', '밥', '집', '돈', '포항', '홍익', '맘', '김치', '등심']"
등심돈카츠,"['돼지고기', '밀가루', '후추', '소금', '빵가루']","['등심', '치즈', '우동', '정돈', '튀김', '치킨', '목포', '광교', '돈', '밥']"
안심돈카츠,"['돼지고기', '밀가루 ', '후추', '소금', '마늘']","['등심', '정돈', '치즈', '우동', '소금', '콘반', '집', '배달', '위례', '튀김']"
카레돈카츠,"['카레', '돼지고기', '밀가루', '당근', '양파', '빵가루', '계란']","['치즈', '등심', '크림', '체다', '우동', '집', '대구', '밥', '목포', '돈']"
생선가스,"['가자미', '빵가루', '밀가루', '소금', '호추', '계란']","['생선', '집밥', '볶음', '반찬', '집', '치즈', '샐러드', '밥', '배달', '튀김']"
가츠동,"['밥', '양파', '파', '계란', '돈가스']","['밥', '연어', '사케', '배달', '초밥', '비', '김치', '계란', '새우', '우동']"
덴동,"['새우', '애호박', '튀김가루', '계란', '밥', '가지', '새우']","['튀김', '밥', '새우', '집', '그릇', '남천동', '소바', '비', '온센', '김']"
냉소바,"['쯔유', '메밀', '김가루', '무', '파', '다시마']","['소바', '참깨', '고등어', '참다랑어', '매콤', '분', '들기름', '여름', '여행', '동동']"
마제소바,"['소고기', '파', '부추', '쓰리라차', '계란면', '고추', '다시마']","['소바', '밥', '면', '바', '휴가', '여름', '추가', '김해', '집', '후']"
치킨까스,"['닭고기', '밀가루', '계란', '후추', '빵가루', '소금']","['카페', '술집', '물', '치킨', '비용', '카톡', '채널', '실제', '보장', '반영구']"
돈가스카레덮밥,"['카레소스', '돈가스', '밥', '계란', '당근', '파', '감자']","['밥', '연어', '포장', '배달', '서울', '새우', '치킨', '집밥', '우동', '소고기']"
모리소바,"['매밀', '무', '파', '간장', '와사비', '쯔유']","['소바', '집', '우동', '튀김', '향', '여름', '면옥', '치즈', '무', '면']"
매운카레돈가스,"['카레소스', '고춧가루', '밥', '돈가스', '계란', '게란', '당근']","['지민', '치즈', '아들', '낮잠', '겨울', '겨우', '어제', '바람', '얼른', '서울']"
모듬초밥,"['회', '밥', '와사비', '간장']","['초밥', '연어', '새우', '연어초밥', '회', '배달', '집', '우동', '포장', '참치']"
우동,"['면', '가쓰오부시', '다시마', '국간장', '멸치']","['밥', '면', '초밥', '집', '튀김', '소바', '그릇', '새우', '비', '집밥']"
미소라멘,"['미소된장', '파', '면', '양파', '숙주', '돼지고기', '간장']","['집', '규동', '영등포', '홍대', '면', '밥', '추가', '무조건', '좀', '가게']"
시오라멘,"['면', '닭뼈', '마늘', '파', '소금', '당근', '돼지고기']","['면', '추가', '닭', '소바', '집', '국물', '밥', '컹컹', '서울', '가게']"
돈코츠라멘,"['돼지등뼈', '미소된장', '돼지고기', '다시마', '마늘', '숙주', '파']","['집', '면', '밥', '돈', '홍대', '추가', '소바', '좀', '마늘', '가라아게']"
치킨가라야게,"['닭고기', '간장', '전분', '계란', '튀김가루', '소금', '전분']","['딸', '치킨', '야채', '남포동', '하루', '돼지고기', '그릇', '집콕', '유', '쫌']"
스테이크덮밥,"['소고기', '마늘', '양파', '간장', '굴소스', '후추', '파']","['밥', '소고기', '송탄', '고기', '비키니', '연어', '소바', '텐', '분', '비']"
