location_info,location_href,upload_id,date_text,date_time,date_title,main_text
마쯔무라 돈까스,https://www.instagram.com/explore/locations/323681882/,jmtgr_yy,2019년 9월 2일,2019-09-02T02:59:16.000Z,2019년 9월 2일,"#창동 #마쯔무라돈까스
치즈 히레 새우 치킨 까스가 모두 나오는 세트!
치즈돈까스가 먹고싶어서 찾아간 식당이였는데 의외로 치킨까스가 너무너무 맛있었당
먹어본 치킨까스 중에 최고😍
튀김옷이 엄청 바삭하고 고기가 도톰합니당
가격은 저렴 앙은 푸짐

#커플세트 (₩18000)

#창동밋집 #창동역맛집 #창동맛집추천 #돈까스맛집 #치즈돈까스 #치킨까스 #먹스타그램 #맛스타그램 #존맛탱구리_도봉"
스즈란테이,https://www.instagram.com/explore/locations/8411750/,katz_hunter,3월 26일,2021-03-26T09:04:14.000Z,2021년 3월 26일,"'도시락' 세 글자에 담기에는 너무 많은 이야기
_
그동안 어설프게 일본 가정식을 흉내 내는 곳을 다녔던 사람이라면 여기.
지금으로부터 20여 년 전부터 동부이촌동에 자리 잡은 #스즈란테이 에 다녀왔다.

잘 알려져 있는 사실이지만 동부이촌동은 일본인들이 많이 살던 동네다. 지금은 일본인 학교가 이전하면서 상암이나 마포 쪽으로 많이 떠났다고 하지만 아직도 유명한 일식집들이 많이 몰려있는 곳.

많고 많은 일식집 중에 스즈란테이는 일본인 사장님의 성함 ‘미타니 마사키’를 따 ‘미타니야’라는 이름으로 이촌동에서 시작했다.
알려진 바에 의하면 한솥 도시락이랑 협업을 하다 어떠한 이유로 ‘스즈란테이’로 가게 이름을 바꿨고, 지금은 이촌점과 발산점만 운영 중이라고. (현재 알려져 있는 ‘미타니야’ 지점들은 한솥 도시락이 운영 중인 브랜드다.)

자리에 앉으면 메뉴판을 두 개 주시는데, 하나는 음식 설명이 담긴 메뉴판, 하나는 이해를 돕기 위한 사진들이 담긴 메뉴판이다. 메뉴가 10개 이상 넘어가고 한자랑 일본어가 혼재되어있다보니 하얀 건 종이요 검은 건 글씨라 솔직히 가독성이 썩 좋지 못하다. 이모님이 친절하게 설명해 주시기는 하나 미리 메뉴 공부를 해가는 게 좋을 듯.

#도시락 을 시켰다. 메뉴 이름은 단촐하지만 구성은 굉장히 알차다. 고바찌(전채), 사시미, 연어구이, 안심까스, 치킨까스, 자왕무시(계란찜), 츠케모노(절임), 밥, 된장국으로 아기자기하게 플레이팅되어 나온다.

안심까스, 치킨까스는 기름에 바짝 튀겨내 눅눅함없이 바삭했다. 샐러드 드레싱에는 당근이 많이 들어간 듯 주황빛을 띄며 맛은 새콤달달하다. 묽은 제형이 아니라서 한 공간에 돈까스 소스랑 같이 뿌리는데 둘이 섞이는 불상사는 없어서 좋았다. 한쪽에는 감자사라다를 담아주시는데 요게 또 짭짤하면서 식욕을 돋게 한다. 연어구이 위에는 소스가 뿌려져 나오며 많이 짜지도 않고 담백하다. 사시미 같은 경우 숙성된 연어, 광어가 몇 점 들어가고 엄청 특출난 맛은 아니지만, 평범할 수 있는 도시락 구성을 한층 고급지게 만들어주는 감초 역할을 해준다.자왕무시는 보들보들한 식감과 탱글함이 살아있고 바닥에는 버섯과 새우까지, 알차다.

마지막 맥주 한 모금까지 입 안에 다 털고 자리에서 일어났다. 다양하게, 그리고 배부르게 잘 먹은 한 끼였다.

가격대가 좀 있는 편이었지만, 밑반찬 하나하나 모두 완성도 높은 퀄리티였고일본가정식 전문점이라는 타이틀로 같은 자리에서 오랜 시간동안 사랑받아 왔으니아직 안 가봤다면 한번쯤 가보는 것을 추천.
_
돈까스 찾아 삼만리🕵🏻‍♂️
이 세상 돈까스가 없어지는 그날까지
_
📍[스즈란테이] 서울 용산구 이촌로 245 로얄맨숀아파트
💸 도시락 15,000 생맥주 7,000
⏰ 매일 11:30-21:30 (L.O 21:10)
✋ BREAK 15:00-17:00"
금왕돈까스,https://www.instagram.com/explore/locations/2064190/,ahn_seo_jun_unique,2월 23일,2021-02-23T05:16:19.000Z,2021년 2월 23일,"#성북구맛집 #서울맛집
#가게이름 #금왕돈까스 버스정류장 동방문화대학원대학교 하차 버스 1111(번동>성북동) 2112(면목동>성북동)
#메뉴 🐖 🐮 🍗
#금왕정식 가격 11000 #함박스테이크 #치킨까스 등심돈까스
#등심돈까스 가격 10000
#콜라 가격 1000
#스프
매주월요일휴무
#위치 #서울 #성북구 #성북동 성북로 138
#주차ok #맛스타그램 #여행스타그램 #먹스타그램 #비쥬얼깡패 #안서준 #92년생 #서울가볼만한곳 #성북동맛집 #돈까스맛집 #경양식 #한성대입구역 #성북구립미술관 #옛날돈까스 #수연산방"
,,kkyh_92,2020년 9월 29일,2020-09-29T02:23:15.000Z,2020년 9월 29일,"하 증말이지 진절머리가 난다요;;;
.
.
#귀리밥 #쇠고기샤브샤브국 #치킨까스 #탕평채 #진미채고추장볶음 #배추김치 #메론 #급식 #여고급식 #학교급식 #단체급식 #무상급식 #급식스타그램 #영양사 #여고영양사 #학교영양사 #단체급식영양사 #영양사스타그램 #탈탈탈 #오늘도탈영양사를꿈꾸며"
,,ha._.0e,2020년 7월 20일,2020-07-20T03:39:50.000Z,2020년 7월 20일,":
돈이 없어서 '아람관'

쇼핑 좀 했더니 식비가 없당... (∘⁼̴⃙̀˘︷˘⁼̴⃙́∘)
그래서 당분간 아람이 먹을랬는데 여기도 가격 올랐네;;
3,700원이라.. 다음엔 컵밥/밥버거/브리또 👀
.
.
.
#20200720 #진주 #경상대 #일상 #소통 #돼일리
#먹스타그램 #맛스타그램 #진주맛집 #경상대맛집
#아람관 #학식 #치킨까스 #까르보나라 #떡볶이 #매실 #우동국 #JMT
#선팔 #맞팔 #팔로우 #follow #f4f #follow4follow
#하영먹스타_진주 #하영먹스타_경상대"
,,jinsimcutlet,5월 18일,2021-05-18T09:34:24.000Z,2021년 5월 18일,"#신제품출시
#진심치킨안심텐더
#체험단이벤트

진심돈까스에서 새롭게 출시된 진심치킨안심텐더 체험단을 모집합니다!!

🔅모집기간 : 5월 18일(화) - 5월 24일(화)
✨당첨발표 : 5월 26일(수)
🎁모집인원 : 10명

[체험단 참여방법]
1. 진심돈까스 계정(@jinsimcutlet)팔로우하고 좋아요 누르기
2. 참여 완료 댓글 작성하기
3. 친구를 소환하면 당첨확률이 올라갑니다!!

에어프라이어
오븐,전자레인지로 간편조리 가능!!

🔸100% 국내산 통 안심살
🔸튀기고 구워나온 치킨텐더(기름없이 조리가능)
🔸한끼 한팩 소분포장(150g-3pc)
🔸어린이 밥 반찬으로 굿!!

#진심치킨안심텐더 #진심돈까스 #치킨너겟 #치킨까스 #닭안심살 #치킨텐더샐러드
#어린이간식 #에어프라이어닭요리 #간편조리 #에어프라이어치킨텐더 #에어프라이어치킨까스 #에어프라이어치킨너겟 #에어프라이어안주 #맥주안주 #치맥안주 #순살너겟"
송파 테라타워,https://www.instagram.com/explore/locations/129382187746525/,sejun1035,2020년 11월 25일,2020-11-25T04:25:11.000Z,2020년 11월 25일,"수요일 점심.. 우와~ 아침부터 콧물샘이 터졌는지 콧물이 멈추질 않아서 휴지로 콧구멍을 막고 근무했더니 머리가 띵하네ㅋㅋ😂 뜨끈한 국밥을 먹을라고 했는데 메뉴가 김치콩나묵국이라고 해서 오늘도 구내식당이자 한식뷔페인 만날에서 한 끼 했다😘
.
👉메인요리인 카레라이스는 말하면 입만 아픈 애정애정하는 메뉴라 흑미밥에 건더기 위주로 퍼담아서 정말 맛있게 먹었다.. 오뚜기 카레인 듯ㅋ💕
.
👉치킨까스.. 닭이다ㅋ 정말 두툼한 두께에 한번 놀라고 부드럽게 녹아내리는 식감에 두번 놀랐다😍 어찌나 부드럽던지.. 닭이라 최고였지만 이거는 정말 더 최고였다💕 카레에 찍먹, 크림스프에 찍먹, 머스터드에 찍먹, 맨입으로 처먹😍 JMT👍
.
👉김치콩나물국.. 국밥을 포기하게 한 메뉴🤗 결과는 굳 초이스ㅋ 얼큰한 것이 몸에 열을 후끈하게 내줬다.. 두그릇 드링킹하고 콧물샘 공구리쳤다ㅋ 약보다 낫네💕
.
👉해물부추전은 전집만큼 맛있었고, 마요네즈로 보습한 맛과 과일샐러드는 맛없없ㅋ 단짠단짠한 새송이곤약조림과 고소한 크림스프까지 옛날의 만날을 보는 것 같았다.. 점점 좋아짐😘 오늘도 마지막은 거봉으로 입가심ㅎ
.
오늘도 건강한 한 끼 감사합니다😘
.
.
#점심식사메뉴 #구내식당 #한식뷔페 #카레라이스 #치킨까스 #해물부추전 #김치콩나물국 #새송이곤약조림 #크림스프 #거봉 #꿀맛 #냠냠 #맛있다 #jmt #좋아요반사
.
.
#한식 #송파맛집 #문정동맛집 #법조타운맛집 #구내식당맛집 #문정동구내식당 #문정동한식뷔페 #한식뷔페맛집 #백반맛집"
창동역,https://www.instagram.com/explore/locations/273279390/,golin_sangwoo_514,7월 7일,2021-07-07T10:59:12.000Z,2021년 7월 7일,"#맛스타그램 #먹스타그램 #맛집 #맛저하세요 #맛저녁😋 #맛저 #서울 #4호선 #1호선 #창동 #창동역 #마쯔무라돈까스 #히레까스 #치킨까스 #최고👍 #당고개역 #남양주 #별내신도시 #진접신도시 #서울역 #사당역 #금정역 #산본 #안산 #의정부 #골프스타그램 #골프 #골린이⛳️ #골프치는SSG팬 #선팔하면맞팔가요
ᆞ
ᆞ
오늘 저녁은 창동 마쯔무라 돈까스😊
4호선 역이랑 가까운데 4호선이 올해 남양주까지 연장되니 더 좋아지겠어요😊
울인님들 저녁 뭐 드실건가요???
맛저하세요😊😊😊"
,,just_eeating,5월 13일,2021-05-13T10:06:26.000Z,2021년 5월 13일,#오늘의급식 #급식4일차 #교생실습급식4일차 #급식 #스프 #치킨까스 #야쿠르트 #스밥 #이하생략 #먹스타그램 #음식스타그램 #먹스타맞팔 #먹팔 #먹스타그램맞팔 #먹스타소통 #맛있는건가까이 #먹부림 #먹스타 #급식스타그램
,,emmebroughton,5분 전,2021-08-02T01:41:15.000Z,2021년 8월 2일,"★ 나노인플루언서 협찬리뷰 ★

저렴한 비용으로
인기게시물 노출이 가능할 수 있어요!

★카톡채널 문의는 프로필에★

■ 특징 ■
- 유령계정으로 작업 된 팔로워 X
- 실제 활동 팔로워와 소통 계정
- 인기게시물 노출 가능! (단, 보장X)

■ 장점 ■
1. 팔로워가 적은 만큼 높은 팬덤!
2. 팔로워가 적은 만큼 낮은 단가!
3. 낮은 단가 대비 고 효율!

※ 인기게시물 노출 보장은 아니지만
기본적으로 실제 활동하는 팔로워로 구성되어있고
인기게시물 노출 사례가 빈번합니다.

저렴한 비용으로
인기게시물 노출이 가능할 수 있어요!

★카톡채널 문의는 프로필에★

#맛집탐방그램#치킨까스#치킨집#치킨배달#피자스타그램#찌개#부대찌개맛집#성형외과#이비인후과#반영구학원#눈썹반영구#군산맛집#군산술집#대전맛집#대전술집#광주맛집#여수술집#인천맛집#강남술집#강북맛집#대구술집#부산맛집#군산카페#대전카페#여수카페#강북카페#부산카페#젤네일#여자눈썹#왁싱"
