title,ingredients,instagram
닭볶음탕,"['닭', '감자', '고추', '당근', '마늘', '간장', '고추장']","['닭', '춘천', '애견', '식당', '사리', '캠핑', '저녁', '볶음', '월정곰닭', '감자', '빵', '진짜', '탕', '닭발', '일산', '식단', '짜장', '상암동', '직장인', '여행']"
된장찌개,"['된장', '양파', '두부', '멸치', '버섯', '마늘', '애호박']","['저녁', '된장', '구이', '볶음', '고기', '반찬', '청국장', '삼겹살', '불고기', '호박', '아침', '한식', '내일', '시간', '신혼', '전', '홈쿡', '엄마', '야채', '술']"
김치찌개,"['배추김치', '김치', '돼지고기', '고춧가루', '마늘', '파', '간장']","['고기', '김치', '저녁', '갈비', '식당', '돼지고기', '불고기', '삼겹살', '숙성', '돼지', '볶음', '계란말이', '예약', '네이버', '교차', '프렌치', '반찬', '최고', '사람', '퇴근']"
비빔밥,"['도라지', '고사리', '고추장', '소고기', '호박', '콩나물', '당근']","['도시락', '과일', '야채', '불고기', '저녁', '호두', '세트', '돈까스', '기프트', '파이', '쿠키', '치마', '샌드위치', '떡', '머핀', '퐁당', '쇼콜라', '닭강정', '크림', '뷔릴레']"
소불고기,"['소고기', '양파', '파', '팽이버섯', '느타리버섯', '간장', '마늘']","['불고기', '양념', '고기', '저녁', '반찬', '갈비', '소고기', '볶음', '구이', '미역국', '엄마', '김치', '산', '시간', '준비', '남편', '돼지', '닭발', '잡채', '사랑']"
떡갈비,"['소고기', '부추', '양념장', '양파', '간장', '참기름', '설탕']","['돈까스', '카츠', '반찬', '저녁', '아이', '도시락', '치즈', '담양', '고기', '명란', '청라', '육즙', '마을', '가정동', '인천', '주문', '카레', '소스', '루원시티', '구이']"
소고기전골,"['소고기', '두부', '배추', '송이버섯', '파', '표고버섯', '마늘']","['전골', '소고기', '창업', '한우', '저녁', '불고기', '서비스', '아기', '술', '구이', '캠핑', '국물', '고기', '홍보', '사장', '레시피', '주말', '사진', '엄마', '손님']"
제육볶음,"['돼지고기', '양파', '고추장', '파', '깨소금', '양파', '고춧가루']","['볶음', '저녁', '반찬', '김치', '돼지', '한식', '도시락', '배달', '주문', '술', '고기', '호박', '쌈', '엄마', '불고기', '전', '식당', '레시피', '국', '양배추']"
잔치국수,"['소면', '멸치', '계란', '애호박', '당근', '파', '다시마']","['고기', '울산', '일산', '멸치', '명촌', '이야기', '여름', '신혼', '돈', '식당', '엄마', '주차장', '놀이', '동구', '삼겹살', '저녁', '시간', '김치', '볶음', '아기']"
돼지갈비찜,"['돼지고기', '간장', '마늘', '참기름', '양파', '파', '당근']","['갈비찜', '돼지', '매운갈비찜', '갈비', '고기', '저녁', '양념', '반찬', '국내', '캠핑', '배달', '돼지갈비', '찜', '간장', '택배', '김치', '도시락', '사랑', '포장', '엄마']"
